Food Item,Meal Type,Calories,Protein,Fat,Carbohydrates,Fiber,Serving Size
Andhra Chicken Curry,Lunch,350,25,20,10,2,1 bowl
Pulihora (Tamarind Rice),Lunch,220,5,8,35,3,1 plate
Gongura Mutton Curry,Lunch,450,30,25,10,3,1 bowl
Pesarattu (Green Gram Pancake),Lunch,250,15,10,30,5,2 pancakes
Biryani (Andhra-style),Lunch,500,20,18,60,4,1 plate
Mirchi Bajji,Lunch,300,7,18,30,5,2 pieces
Kodi Vepudu (Spicy Chicken Fry),Lunch,400,30,18,10,2,1 serving
Sambar Rice,Lunch,350,12,8,50,7,1 plate
Curry Leaf Chicken,Lunch,380,28,20,10,3,1 bowl
Pulled Pork with Rice,Lunch,480,30,22,40,5,1 serving
Tomato Pappu (Lentil Curry),Lunch,250,10,8,40,10,1 bowl
Chili Chicken (Andhra-style),Lunch,450,30,25,10,2,1 serving
Ragi Mudde (Finger Millet Balls),Lunch,220,8,2,40,8,2 balls
Kothimeera Pachadi (Coriander Chutney),Lunch,120,3,5,15,3,2 tbsp
Avakaya (Mango Pickle),Lunch,90,1,7,10,1,1 tbsp
Dondakaya Curry (Ivy Gourd Curry),Lunch,250,8,12,30,5,1 bowl
Chepala Pulusu (Fish Curry),Lunch,400,30,20,10,2,1 bowl
Vankaya (Eggplant) Curry,Lunch,280,5,15,30,6,1 bowl
Pootharekulu (Rice Paper Sweet),Lunch,150,2,5,25,1,2 pieces
Bagara Baingan,Lunch,350,7,18,30,5,1 bowl
Mutton Korma,Lunch,500,30,30,15,4,1 bowl
Andhra-style Fish Fry,Lunch,400,25,20,12,2,1 serving
Pappu Charu (Lentil Stew),Lunch,280,12,8,40,8,1 bowl
Chepala Pulusu (Fish Curry),Lunch,400,30,20,10,2,1 bowl
Vepudu (Spicy Vegetable Fry),Lunch,350,7,15,40,6,1 serving
Mamidikaya Pulihora,Lunch,220,4,8,35,3,1 plate
Thoran (Cabbage Stir-fry),Lunch,200,6,7,28,5,1 serving
Dum Biryani (Andhra-style),Lunch,500,20,18,60,4,1 plate
Kobbari Annam (Coconut Rice),Lunch,350,7,14,45,3,1 bowl
Pesarattu Upma,Lunch,300,15,10,35,6,1 serving
Kura (Spicy Curry with Mutton),Lunch,480,32,25,20,4,1 bowl
Lemon Rice,Lunch,250,4,8,36,2,1 plate
Karela Curry (Bitter Gourd),Lunch,250,6,12,28,6,1 bowl
Methi (Fenugreek) Thepla,Lunch,270,8,10,35,7,1 serving
Chicken Salad,Lunch,350,30,18,12,4,1 bowl
Grilled Cheese,Lunch,300,12,16,34,2,1 sandwich
Tuna Sandwich,Lunch,280,22,14,28,3,1 sandwich
Vegetable Soup,Lunch,200,7,6,30,5,1 bowl
Spaghetti,Lunch,400,15,10,60,6,1 plate
Turkey Club Sandwich,Lunch,450,30,20,40,4,1 sandwich
Caesar Salad,Lunch,350,12,24,16,3,1 bowl
Chicken Wrap,Lunch,400,25,15,45,5,1 wrap
Quinoa Salad,Lunch,300,10,12,38,7,1 bowl
BLT Sandwich,Lunch,380,18,22,34,3,1 sandwich
Veggie Burger,Lunch,350,20,10,40,6,1 burger
Chicken Burrito,Lunch,500,28,18,60,7,1 burrito
Egg Salad Sandwich,Lunch,320,15,22,28,2,1 sandwich
Beef Stir-fry,Lunch,450,30,18,40,5,1 bowl
Lentil Soup,Lunch,250,12,5,40,12,1 bowl
Grilled Chicken Wrap,Lunch,400,30,15,45,5,1 wrap
Pasta Salad,Lunch,350,10,15,45,3,1 bowl
Chicken Quesadilla,Lunch,500,30,22,40,5,1 quesadilla
Falafel Wrap,Lunch,400,14,18,50,7,1 wrap
Minestrone Soup,Lunch,230,9,4,40,7,1 bowl
Chicken Caesar Wrap,Lunch,420,30,20,30,4,1 wrap
Grilled Veggie Sandwich,Lunch,280,10,12,40,8,1 sandwich
Roast Beef Sandwich,Lunch,350,22,15,34,3,1 sandwich
Veggie Burrito,Lunch,400,12,18,52,8,1 burrito
Chicken Parmesan,Lunch,600,40,20,70,6,1 plate
Pita with Hummus,Lunch,300,10,14,40,6,1 pita
Pulled Pork Sandwich,Lunch,500,28,20,50,4,1 sandwich
Cobb Salad,Lunch,450,30,25,20,6,1 bowl
Veggie Pizza,Lunch,350,15,15,40,5,1 slice
Chicken Fajitas,Lunch,500,35,18,55,7,1 plate
Baked Ziti,Lunch,500,20,15,70,4,1 plate
Steak Salad,Lunch,550,40,25,30,5,1 bowl
Falafel with Tzatziki,Lunch,350,15,18,35,6,1 serving
Turkey Meatball Sub,Lunch,480,32,18,40,5,1 sandwich
Bulgur Wheat Salad,Lunch,300,12,10,45,8,1 bowl
Chickpea Salad,Lunch,350,18,12,40,9,1 bowl
Chicken and Rice Bowl,Lunch,450,30,15,50,5,1 bowl
Pork Tacos,Lunch,400,28,18,38,4,2 tacos
Shrimp Stir-fry,Lunch,400,25,10,50,4,1 bowl
Avocado Toast,Lunch,350,10,20,35,7,2 slices
White Rice,Lunch,205,4,0.4,45,0.6,1 cup cooked